Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Pkg Code,,,,XREF
1,"Y1",,CRYSTAL-SMD-5X3,7B-12.000MEEQ-T,TXC CORPORATION (VA),DK,887-1292-1-ND,CRYSTAL 12.000MHZ 10PF SMD,4-SMD,*,*,*,REF148
1,"C5",0.1uF,0402-CAP,GRM155R60J474KE19D,MURATA ELECTRONICS (VA),DK,490-3266-1-ND,CAP CER 0.47UF 6.3V 10% X5R 0402,0402,*,*,*,REF136
2,"C2, C15",0.47uF,0402-CAP,GRM155R60J474KE19D,MURATA ELECTRONICS (VA),DK,490-3266-1-ND,CAP CER 0.47UF 6.3V 10% X5R 0402,0402,*,*,*,REF136
6,"C6, C7, C8, C9, C10, C11",0.047uF,0402-CAP,0402YD473KAT2A,AVX CORPORATION (VA),DK,478-1125-1-ND,CAP CER 0.047UF 16V X5R 0402,0402,*,*,*,REF137
1,"C4",1.5pF,0402-CAP,C0402C159B5GACTU,KEMET (VA),DK,399-7335-1-ND,CAP CER 1.5PF 50V NP0 0402,0402,*,*,*,REF135
1,"L2",1.8nH,C0402,ELJ-RF1N8DFB,PANASONIC ELECTRONIC COMPONENTS (VA),DK,PCD1926CT-ND,INDUCTOR 1.8NH +-.3NH 0402 SMD,0402,*,*,*,REF142
1,"C3",2.0pF,0402-CAP,C0402C209C5GACTU,KEMET (VA),DK,399-1004-1-ND,CAP CER 2PF 50V NP0 0402,0402,*,*,*,REF134
1,"C14",2.2uF,0805,GRM21BR71A225KA01L,MURATA ELECTRONICS (VA),DK,490-1696-1-ND,CAP CER 2.2UF 10V 10% X7R 0805,0805,*,*,*,REF139
1,"C1",15pF,0402-CAP,C0402C150J5GACTU,KEMET (VA),DK,399-1014-1-ND,CAP CER 15PF 50V 5% NP0 0402,0402,*,*,*,REF133
1,"L12",22nH,0603,ELJ-RE22NGFA,PANASONIC ELECTRONIC COMPONENTS (VA),DK,PCD2006CT-ND,INDUCTOR 22NH 2% 0603 SMD,0603,*,*,*,REF141
2,"R1, R2",330,0402-RES,CRCW0402330RJNED,VISHAY DALE (VA),DK,541-330JCT-ND,RES 330 OHM 1/16W 5% 0402 SMD,402,*,*,*,REF102
1,"U$1",CYRF69103,QFN40,CYRF69103-40LFXC,CYPRESS SEMICONDUCTOR CORP,DK,428-1933-ND,IC PROC 8K FLASH 40VQFN,QFN40,*,*,*,REF156
1,"D2",GREEN,LED-0603,LTST-C190KGKT,LITE-ON INC (VA),DK,160-1435-1-ND,LED GREEN CLEAR 0603 SMD,603,*,*,*,REF114
1,"D1",RED,LED-0603,LTST-C191TBKT,LITE-ON INC (VA),DK,160-1647-1-ND,LED 468NM BLUE CLEAR 0603 SMD,603,*,*,*,REF104
11,"GND, IRQ, MISO, MOSI, SCK, SCLK, SDATA, VCC, VCC_JMP, VDD, _SS",SOLDER_PAD,SOLDER_PAD,***PART# '*' NOT FOUND***,*,*,*,*,*,*,*,*,*
